T1Time,T1Pos,T1Vel,T1Acc,T2Time,T2Pos,T2Vel,T2Acc,T3Time,T3Pos,T3Vel,T3Acc,T4Time,T4Pos,T4Vel,T4Acc,T5Time,T5Pos,T5Vel,T5Acc,T6Time,T6Pos,T6Vel,T6Acc
0.05,0.180075,-0.00343,-0.001767932,0.05,0.178703,-0.014482222,0.185558765,0.05,0.1771595,0.018483889,-0.26455463,0.05,0.17836,0.001715,-0.102444784,0.05,0.1788745,-0.026296667,0.399711451,0.05,0.175273,0.249818333,0.639832623
0.1,0.179732,-0.00214375,-0.04658554,0.1,0.1775025,-0.005526111,0.272647948,0.1,0.179046,-0.001333889,-0.013259491,0.1,0.1785315,-0.00214375,-0.097797346,0.1,0.176988,-0.011004583,0.593479985,0.1,0.186249,0.28426125,0.54637571
0.15,0.1799035,-0.002515333,-0.112824769,0.15,0.1785315,0.0012005,0.52777537,0.15,0.176988,-0.00343,0.444502593,0.15,0.1788745,-0.0125195,0.001095694,0.15,0.176988,0.017378667,0.933642824,0.15,0.202713,0.314302333,0.368073935
0.2,0.1805895,-0.019341389,-0.064836528,0.2,0.176988,0.0248675,1.128808765,0.2,0.177331,0.024486389,1.174245679,0.2,0.1768165,-0.013053056,0.325167176,0.2,0.1778455,0.064788889,1.507024491,0.2,0.2190055,0.322229444,0.172627454
0.25,0.1771595,-0.022390278,0.276025015,0.25,0.177674,0.113666389,1.70527108,0.25,0.1761305,0.118049167,1.789793056,0.25,0.1768165,0.009146667,0.887708349,0.25,0.179732,0.1809325,1.803094892,0.25,0.2351265,0.325468889,0.07760375
0.3,0.1771595,0.003715833,0.766213302,0.3,0.186935,0.228857222,1.625724722,0.3,0.1874495,0.2426725,1.630785031,0.3,0.176302,0.066599167,1.562523796,0.3,0.1963675,0.287643611,1.295068488,0.3,0.251419,0.328041389,0.034998704
0.35,0.177674,0.04116,1.450762963,0.35,0.2028845,0.302030556,1.014814198,0.35,0.203742,0.306794444,0.93668642,0.35,0.180075,0.185791667,1.793604167,0.35,0.21266,0.318418333,0.584582099,0.35,0.2680545,0.328708333,0.013762346
0.4,0.176988,0.156160278,1.904285185,0.4,0.21952,0.325564167,0.432931636,0.4,0.220206,0.325945278,0.371212809,0.4,0.1960245,0.283927778,1.282438889,0.4,0.2289525,0.325754722,0.209505247,0.4,0.284347,0.3284225,0.013921142
0.45,0.192766,0.278211111,1.470400772,0.45,0.235984,0.3301375,0.135294444,0.45,0.23667,0.328898889,0.100676852,0.45,0.2118025,0.319275833,0.608772068,0.45,0.2450735,0.328231944,0.09104321,0.45,0.300811,0.329565833,0.024031173
0.5,0.2094015,0.318227778,0.704526235,0.5,0.252448,0.331757222,0.026307253,0.5,0.253134,0.328517778,0.028318673,0.5,0.228781,0.329089444,0.198283642,0.5,0.261709,0.332138333,0.082997531,0.5,0.317275,0.331280833,0.024137037
0.55,0.225694,0.328327222,0.260584722,0.55,0.269255,0.331280833,-0.011115741,0.55,0.2694265,0.329756389,0.025725,0.55,0.244902,0.328708333,0.032235648,0.55,0.2783445,0.336235278,0.094219136,0.55,0.3339105,0.333091111,0.003969907
0.6,0.242158,0.330328056,0.123914043,0.6,0.285719,0.328898889,-0.002805401,0.6,0.286062,0.3318525,0.019214352,0.6,0.261709,0.327183889,0.011380401,0.6,0.295323,0.340618056,0.107822685,0.6,0.3507175,0.332424167,-0.026836574
0.65,0.258622,0.335758889,0.133812346,0.65,0.3020115,0.329089444,0.036893673,0.65,0.3026975,0.332328889,0.001535031,0.65,0.277487,0.328041389,0.040440123,0.65,0.3119585,0.351193889,0.034247068,0.65,0.367353,0.3284225,-0.022549074
0.7,0.2756005,0.343666944,0.138417438,0.7,0.318304,0.334425,0.043404321,0.7,0.319333,0.331947778,-0.015085648,0.7,0.294294,0.332805278,0.044568827,0.7,0.330995,0.350145833,-0.143128395,0.7,0.3833025,0.328708333,0.007039969
0.75,0.2924075,0.358053889,-0.00756929,0.75,0.3356255,0.336806944,-0.005452006,0.75,0.3359685,0.330042222,-0.015720833,0.75,0.3109295,0.334615556,0.009739506,0.75,0.347802,0.333662778,-0.249839506,0.75,0.4001095,0.330995,0.005081481
0.8,0.3126445,0.34986,-0.257144136,0.8,0.3524325,0.3318525,-0.020378858,0.8,0.352261,0.329565833,0.001164506,0.8,0.327908,0.3335675,-0.022549074,0.8,0.3644375,0.315750556,-0.175258179,0.8,0.4165735,0.330423333,-0.018949691
0.85,0.3287655,0.318227778,-0.253597685,0.85,0.3685535,0.331090278,0.025195679,0.85,0.3688965,0.330042222,0.019320216,0.85,0.344372,0.330613889,-0.021966821,0.85,0.378672,0.310986667,0.003758179,0.85,0.433209,0.328613056,-0.034988117
0.9,0.3428285,0.313559167,-0.045521605,0.9,0.385189,0.336235278,0.038005247,0.9,0.385189,0.3318525,0.026942438,0.9,0.360836,0.3301375,0.003758179,0.9,0.394793,0.321086111,0.097924383,0.9,0.4495015,0.325564167,-0.024878086
0.95,0.359464,0.321657778,0.048274074,0.95,0.402339,0.338426667,-0.010321759,0.95,0.401996,0.334710833,-0.000105864,0.95,0.3773,0.331471389,0.020061265,0.95,0.4110855,0.326993333,0.071564198,0.95,0.4656225,0.325183056,0.00402284
1,0.375585,0.323086944,0.052985031,1,0.4193175,0.335473056,-0.062248148,1,0.4189745,0.332138333,-0.029377315,1,0.3939355,0.3335675,0.007886883,1,0.427721,0.328898889,0.020802315,1,0.481915,0.326898056,0.016991204
1.05,0.391706,0.325564167,0.055261111,1.05,0.4361245,0.328327222,-0.04488642,1.05,0.435267,0.328803611,-0.006881173,1.05,0.4107425,0.333662778,-0.027789352,1.05,0.444185,0.326421667,0.013233025,1.05,0.498379,0.327660278,0.014503395
1.1,0.4079985,0.328994167,0.045680401,1.1,0.451731,0.3284225,0.020272994,1.1,0.4515595,0.330518611,0.03101821,1.1,0.4275495,0.329661111,-0.040969444,1.1,0.4601345,0.327946111,0.04742716,1.1,0.5146715,0.328517778,0.007675154
1.15,0.424634,0.332138333,0.006669444,1.15,0.4687095,0.333376944,0.035199846,1.15,0.468195,0.334329722,0.028054012,1.15,0.4436705,0.326516944,-0.002752469,1.15,0.47677,0.332995833,0.049809105,1.15,0.531307,0.328041389,0.007992747
1.2,0.4416125,0.3284225,-0.011486265,1.2,0.485345,0.334043889,0.009792438,1.2,0.4851735,0.335187222,-0.006193056,1.2,0.4597915,0.3301375,0.022284414,1.2,0.493577,0.335473056,0.006934105,1.2,0.547428,0.328517778,0.022072685
1.25,0.457219,0.328708333,0.010321759,1.25,0.502152,0.333758056,-0.010004167,1.25,0.5019805,0.331661944,-0.006987037,1.25,0.47677,0.332328889,-0.011803858,1.25,0.5105555,0.333472222,-0.03228858,1.25,0.5640635,0.330709167,0.026148457
1.3,0.474369,0.330804444,0.014027006,1.3,0.5187875,0.331947778,-0.00984537,1.3,0.5181015,0.332043056,0.032659105,1.3,0.4934055,0.328327222,-0.035464506,1.3,0.5270195,0.329661111,-0.024560494,1.3,0.5805275,0.332138333,0.01185679
